name,MOS,CI_MIN,CI_MAX
airplane_ds_L01,3.05,3.01,3.10
airplane_ds_L02,2.73,2.67,2.80
airplane_ds_L03,2.03,1.97,2.09
airplane_ds_L04,1.59,1.55,1.63
airplane_ds_L05,1.11,1.09,1.13
airplane_gn_L01,2.47,2.43,2.51
airplane_gn_L02,1.80,1.75,1.85
airplane_gn_L03,1.67,1.63,1.71
airplane_gn_L04,1.49,1.45,1.53
airplane_gn_L05,1.32,1.29,1.36
airplane_JPEG_L01,3.75,3.69,3.80
airplane_JPEG_L02,3.76,3.69,3.83
airplane_JPEG_L03,3.53,3.48,3.58
airplane_JPEG_L04,3.32,3.26,3.38
airplane_JPEG_L05,2.91,2.86,2.95
airplane_JPEG_L06,2.38,2.33,2.44
airplane_qp_L01,4.33,4.29,4.37
airplane_qp_L02,4.39,4.35,4.43
airplane_qp_L03,3.82,3.77,3.87
airplane_qp_L04,2.58,2.53,2.63
airplane_qp_L05,1.74,1.69,1.80
airplane_qpqt_L01,4.52,4.48,4.56
airplane_qpqt_L02,4.43,4.39,4.47
airplane_qpqt_L03,4.24,4.20,4.28
airplane_qpqt_L04,3.91,3.87,3.96
airplane_qpqt_L05,2.62,2.57,2.67
airplane_qpqt_L06,1.63,1.60,1.66
airplane_qpqtJPEG_L01,3.62,3.58,3.66
airplane_qpqtJPEG_L02,3.17,3.11,3.23
airplane_qpqtJPEG_L03,2.28,2.22,2.35
airplane_qpqtJPEG_L04,3.31,3.24,3.37
airplane_qpqtJPEG_L05,3.33,3.27,3.39
airplane_qpqtJPEG_L06,1.88,1.82,1.94
airplane_qpqtJPEG_L07,1.59,1.55,1.63
airplane_qpqtJPEG_L08,1.56,1.53,1.60
airplane_qpqtJPEG_L09,1.49,1.45,1.53
airplane_simp_L01,3.57,3.52,3.62
airplane_simp_L02,3.53,3.47,3.60
airplane_simp_L03,3.31,3.24,3.38
airplane_simp_L04,3.06,3.00,3.11
airplane_simp_L05,2.18,2.13,2.22
airplane_simpNoTex_L01,4.47,4.43,4.50
airplane_simpNoTex_L02,3.51,3.47,3.56
airplane_simpNoTex_L03,3.23,3.16,3.30
airplane_simpNoTex_L04,2.74,2.68,2.80
antinous_ds_L01,3.95,3.89,4.00
antinous_ds_L02,3.67,3.62,3.73
antinous_ds_L03,3.31,3.25,3.37
antinous_ds_L04,2.35,2.30,2.41
antinous_ds_L05,1.53,1.49,1.57
antinous_gn_L01,4.10,4.07,4.14
antinous_gn_L02,3.90,3.84,3.95
antinous_gn_L03,3.08,3.01,3.14
antinous_gn_L04,2.83,2.77,2.89
antinous_gn_L05,2.66,2.60,2.72
antinous_JPEG_L01,3.84,3.79,3.89
antinous_JPEG_L02,3.76,3.72,3.81
antinous_JPEG_L03,3.25,3.19,3.30
antinous_JPEG_L04,2.65,2.60,2.71
antinous_JPEG_L05,2.05,2.00,2.09
antinous_JPEG_L06,1.36,1.34,1.39
antinous_qp_L01,4.33,4.28,4.37
antinous_qp_L02,4.30,4.26,4.34
antinous_qp_L03,4.20,4.16,4.24
antinous_qp_L04,4.10,4.07,4.14
antinous_qp_L05,3.89,3.85,3.93
antinous_qpqt_L01,4.41,4.37,4.45
antinous_qpqt_L02,4.29,4.25,4.33
antinous_qpqt_L03,4.27,4.24,4.30
antinous_qpqt_L04,4.20,4.16,4.24
antinous_qpqt_L05,4.22,4.17,4.27
antinous_qpqt_L06,3.38,3.33,3.43
antinous_qpqtJPEG_L01,3.46,3.41,3.51
antinous_qpqtJPEG_L02,2.53,2.48,2.58
antinous_qpqtJPEG_L03,1.27,1.24,1.29
antinous_qpqtJPEG_L04,3.65,3.61,3.69
antinous_qpqtJPEG_L05,2.73,2.67,2.78
antinous_qpqtJPEG_L06,1.25,1.22,1.28
antinous_qpqtJPEG_L07,3.25,3.19,3.32
antinous_qpqtJPEG_L08,2.62,2.57,2.66
antinous_qpqtJPEG_L09,1.27,1.24,1.29
antinous_simp_L01,4.24,4.20,4.28
antinous_simp_L02,4.18,4.15,4.21
antinous_simp_L03,3.85,3.81,3.90
antinous_simp_L04,3.24,3.18,3.29
antinous_simp_L05,2.79,2.73,2.85
antinous_simpNoTex_L01,4.37,4.33,4.41
antinous_simpNoTex_L02,4.05,4.00,4.09
antinous_simpNoTex_L03,3.27,3.20,3.33
antinous_simpNoTex_L04,2.50,2.44,2.57
beautyLady_ds_L01,3.82,3.79,3.84
beautyLady_ds_L02,3.58,3.55,3.62
beautyLady_ds_L03,2.85,2.79,2.90
beautyLady_ds_L04,2.07,2.00,2.14
beautyLady_ds_L05,1.24,1.21,1.26
beautyLady_gn_L01,3.72,3.67,3.78
beautyLady_gn_L02,2.60,2.56,2.64
beautyLady_gn_L03,2.09,2.03,2.16
beautyLady_gn_L04,1.76,1.71,1.82
beautyLady_gn_L05,1.44,1.39,1.48
beautyLady_JPEG_L01,4.07,4.02,4.13
beautyLady_JPEG_L02,3.98,3.94,4.02
beautyLady_JPEG_L03,3.90,3.85,3.95
beautyLady_JPEG_L04,3.13,3.08,3.19
beautyLady_JPEG_L05,2.33,2.27,2.39
beautyLady_JPEG_L06,1.71,1.68,1.74
beautyLady_qp_L01,4.55,4.53,4.56
beautyLady_qp_L02,4.54,4.50,4.57
beautyLady_qp_L03,4.30,4.25,4.34
beautyLady_qp_L04,3.15,3.10,3.21
beautyLady_qp_L05,1.76,1.71,1.82
beautyLady_qpqt_L01,4.47,4.44,4.51
beautyLady_qpqt_L02,4.35,4.31,4.38
beautyLady_qpqt_L03,4.55,4.52,4.57
beautyLady_qpqt_L04,4.03,3.99,4.08
beautyLady_qpqt_L05,3.08,3.03,3.12
beautyLady_qpqt_L06,1.76,1.71,1.82
beautyLady_qpqtJPEG_L01,3.74,3.70,3.78
beautyLady_qpqtJPEG_L02,2.89,2.83,2.96
beautyLady_qpqtJPEG_L03,1.67,1.61,1.72
beautyLady_qpqtJPEG_L04,3.74,3.67,3.80
beautyLady_qpqtJPEG_L05,2.79,2.74,2.84
beautyLady_qpqtJPEG_L06,1.51,1.47,1.54
beautyLady_qpqtJPEG_L07,1.78,1.73,1.83
beautyLady_qpqtJPEG_L08,1.69,1.64,1.73
beautyLady_qpqtJPEG_L09,1.44,1.40,1.47
beautyLady_simp_L01,4.14,4.09,4.19
beautyLady_simp_L02,4.07,4.02,4.13
beautyLady_simp_L03,4.08,4.02,4.14
beautyLady_simp_L04,2.98,2.92,3.04
beautyLady_simp_L05,2.24,2.19,2.28
beautyLady_simpNoTex_L01,4.36,4.33,4.40
beautyLady_simpNoTex_L02,1.80,1.76,1.84
beautyLady_simpNoTex_L03,1.76,1.72,1.81
beautyLady_simpNoTex_L04,1.58,1.53,1.63
bennetTomb_ds_L01,3.65,3.60,3.70
bennetTomb_ds_L02,3.18,3.13,3.23
bennetTomb_ds_L03,2.79,2.72,2.86
bennetTomb_ds_L04,1.91,1.86,1.97
bennetTomb_ds_L05,1.22,1.20,1.24
bennetTomb_gn_L01,3.72,3.65,3.80
bennetTomb_gn_L02,3.13,3.07,3.19
bennetTomb_gn_L03,2.36,2.28,2.44
bennetTomb_gn_L04,2.42,2.35,2.48
bennetTomb_gn_L05,2.11,2.05,2.16
bennetTomb_JPEG_L01,4.18,4.15,4.21
bennetTomb_JPEG_L02,3.74,3.69,3.79
bennetTomb_JPEG_L03,3.49,3.43,3.56
bennetTomb_JPEG_L04,3.06,2.98,3.14
bennetTomb_JPEG_L05,2.71,2.64,2.78
bennetTomb_JPEG_L06,1.69,1.64,1.73
bennetTomb_qp_L01,4.26,4.23,4.29
bennetTomb_qp_L02,4.18,4.15,4.21
bennetTomb_qp_L03,4.16,4.13,4.20
bennetTomb_qp_L04,3.95,3.89,4.01
bennetTomb_qp_L05,3.40,3.35,3.45
bennetTomb_qpqt_L01,4.22,4.18,4.25
bennetTomb_qpqt_L02,4.27,4.24,4.31
bennetTomb_qpqt_L03,4.14,4.09,4.19
bennetTomb_qpqt_L04,4.13,4.09,4.18
bennetTomb_qpqt_L05,4.07,4.03,4.12
bennetTomb_qpqt_L06,3.22,3.17,3.26
bennetTomb_qpqtJPEG_L01,3.84,3.78,3.90
bennetTomb_qpqtJPEG_L02,3.20,3.12,3.28
bennetTomb_qpqtJPEG_L03,1.93,1.88,1.99
bennetTomb_qpqtJPEG_L04,3.80,3.75,3.85
bennetTomb_qpqtJPEG_L05,2.96,2.90,3.02
bennetTomb_qpqtJPEG_L06,1.69,1.65,1.72
bennetTomb_qpqtJPEG_L07,2.89,2.83,2.95
bennetTomb_qpqtJPEG_L08,2.38,2.32,2.44
bennetTomb_qpqtJPEG_L09,1.73,1.68,1.77
bennetTomb_simp_L01,4.16,4.11,4.21
bennetTomb_simp_L02,4.22,4.16,4.28
bennetTomb_simp_L03,3.73,3.67,3.79
bennetTomb_simp_L04,3.62,3.56,3.68
bennetTomb_simp_L05,2.64,2.54,2.74
bennetTomb_simpNoTex_L01,4.22,4.17,4.27
bennetTomb_simpNoTex_L02,4.22,4.17,4.26
bennetTomb_simpNoTex_L03,4.07,4.02,4.13
