Model,stimulus,MOS
dead_rose_smallCCremoved,dead_rose_smallCCremoved_dec0.10_qp6_qt5_cqlevel_63,0.955882353
dead_rose_smallCCremoved,dead_rose_smallCCremoved_dec0.20_qp8_qt7_cqlevel_63,0.75
dead_rose_smallCCremoved,dead_rose_smallCCremoved_dec0.30_qp10_qt9_cqlevel_58,0.51875
dead_rose_smallCCremoved,dead_rose_smallCCremoved_dec0.60_qp12_qt11_cqlevel_53,0.3529411765
dead_rose_smallCCremoved,dead_rose_smallCCremoved_dec1.00_qp12_qt11_cqlevel_43,0.24324324325000002
electrodynamic,electrodynamic_dec0.10_qp10_qt9_cqlevel_53,0.39473684200000003
electrodynamic,electrodynamic_dec0.10_qp12_qt11_cqlevel_53,0.4125
electrodynamic,electrodynamic_dec0.10_qp7_qt6_cqlevel_63,0.951923077
electrodynamic,electrodynamic_dec0.10_qp8_qt7_cqlevel_63,0.78571428575
electrodynamic,electrodynamic_dec0.30_qp12_qt11_cqlevel_43,0.24324324325000002
frederic_fr00001,frederic_fr00001_dec0.10_qp7_qt6_cqlevel_63,0.95
frederic_fr00001,frederic_fr00001_dec0.10_qp9_qt8_cqlevel_63,0.86842105275
frederic_fr00001,frederic_fr00001_dec0.30_qp11_qt10_cqlevel_63,0.669117647
frederic_fr00001,frederic_fr00001_dec0.40_qp12_qt11_cqlevel_53,0.43589743599999997
frederic_fr00001,frederic_fr00001_dec1.00_qp11_qt10_cqlevel_48,0.25892857150000004
green_tree_frog,green_tree_frog_dec0.10_qp9_qt8_cqlevel_63,0.9736842105
green_tree_frog,green_tree_frog_dec0.20_qp10_qt9_cqlevel_63,0.9338235295
green_tree_frog,green_tree_frog_dec1.00_qp10_qt9_cqlevel_63,0.79487179475
green_tree_frog,green_tree_frog_dec1.00_qp11_qt10_cqlevel_58,0.55921052625
green_tree_frog,green_tree_frog_dec1.00_qp13_qt12_cqlevel_33,0.13571428575
heilig_grab_kapelle,heilig_grab_kapelle_dec0.10_qp6_qt5_cqlevel_63,0.97
heilig_grab_kapelle,heilig_grab_kapelle_dec0.10_qp8_qt7_cqlevel_63,0.88815789475
heilig_grab_kapelle,heilig_grab_kapelle_dec0.20_qp10_qt9_cqlevel_63,0.56578947375
heilig_grab_kapelle,heilig_grab_kapelle_dec0.20_qp13_qt12_cqlevel_58,0.43243243249999996
heilig_grab_kapelle,heilig_grab_kapelle_dec0.60_qp16_qt14_cqlevel_33,0.10000000000000009
heliostat,heliostat_dec0.10_qp10_qt9_cqlevel_63,0.4615384615
heliostat,heliostat_dec0.10_qp11_qt10_cqlevel_58,0.31999999999999995
heliostat,heliostat_dec0.10_qp7_qt6_cqlevel_63,0.9453125
heliostat,heliostat_dec0.10_qp8_qt7_cqlevel_63,0.7714285715
heliostat,heliostat_dec0.40_qp13_qt12_cqlevel_38,0.2265625
hussar_on_horseback,hussar_on_horseback_dec0.10_qp11_qt10_cqlevel_63,0.79285714275
hussar_on_horseback,hussar_on_horseback_dec0.10_qp7_qt6_cqlevel_63,0.96875
hussar_on_horseback,hussar_on_horseback_dec0.10_qp8_qt7_cqlevel_63,0.8846153845
hussar_on_horseback,hussar_on_horseback_dec0.60_qp11_qt10_cqlevel_58,0.532051282
hussar_on_horseback,hussar_on_horseback_dec1.00_qp12_qt11_cqlevel_43,0.25625
