Model,stimulus,MOS
apollo_11,apollo_11_dec0.10_qp7_qt6_cqlevel_63,0.96710526325
apollo_11,apollo_11_dec0.10_qp9_qt8_cqlevel_63,0.9210526315
apollo_11,apollo_11_dec1.00_qp11_qt10_cqlevel_53,0.56578947375
apollo_11,apollo_11_dec1.00_qp13_qt12_cqlevel_33,0.36486486475
apollo_11,apollo_11_dec1.00_qp13_qt12_cqlevel_43,0.42763157900000004
apothecary_vase,apothecary_vase_dec0.10_qp10_qt9_cqlevel_63,0.5
apothecary_vase,apothecary_vase_dec0.10_qp12_qt11_cqlevel_58,0.25675675675
apothecary_vase,apothecary_vase_dec0.10_qp7_qt6_cqlevel_63,0.7
apothecary_vase,apothecary_vase_dec0.10_qp8_qt7_cqlevel_63,0.6339285715
apothecary_vase,apothecary_vase_dec1.00_qp12_qt11_cqlevel_53,0.15384615375
armillary_sphere_1771,armillary_sphere_1771_dec0.10_qp10_qt9_cqlevel_63,0.831081081
armillary_sphere_1771,armillary_sphere_1771_dec0.10_qp7_qt6_cqlevel_63,0.98076923075
armillary_sphere_1771,armillary_sphere_1771_dec0.10_qp8_qt7_cqlevel_63,0.9166666667500001
armillary_sphere_1771,armillary_sphere_1771_dec0.20_qp11_qt10_cqlevel_48,0.47297297299999996
armillary_sphere_1771,armillary_sphere_1771_dec0.40_qp12_qt11_cqlevel_38,0.30921052625
buste_cuirasse_de_marc_aurele_age,buste_cuirasse_de_marc_aurele_age_dec0.10_qp10_qt9_cqlevel_53,0.70270270275
buste_cuirasse_de_marc_aurele_age,buste_cuirasse_de_marc_aurele_age_dec0.10_qp7_qt6_cqlevel_63,0.99375
buste_cuirasse_de_marc_aurele_age,buste_cuirasse_de_marc_aurele_age_dec0.10_qp9_qt8_cqlevel_58,0.7960526315
buste_cuirasse_de_marc_aurele_age,buste_cuirasse_de_marc_aurele_age_dec0.30_qp10_qt9_cqlevel_43,0.4594594595
buste_cuirasse_de_marc_aurele_age,buste_cuirasse_de_marc_aurele_age_dec1.00_qp11_qt10_cqlevel_28,0.17105263150000005
candle_stick,candle_stick_dec0.10_qp10_qt9_cqlevel_58,0.38749999999999996
candle_stick,candle_stick_dec0.10_qp7_qt6_cqlevel_63,0.93269230775
candle_stick,candle_stick_dec0.10_qp9_qt8_cqlevel_63,0.5384615385
candle_stick,candle_stick_dec0.20_qp11_qt10_cqlevel_48,0.15714285725
candle_stick,candle_stick_dec0.40_qp13_qt12_cqlevel_38,0.1029411764999999
cela_ruins_of_a_nuns_cell,cela_ruins_of_a_nuns_cell_dec0.10_qp11_qt10_cqlevel_58,0.61458333325
cela_ruins_of_a_nuns_cell,cela_ruins_of_a_nuns_cell_dec0.10_qp7_qt6_cqlevel_63,0.9539473685
cela_ruins_of_a_nuns_cell,cela_ruins_of_a_nuns_cell_dec0.10_qp9_qt8_cqlevel_63,0.7785714285
cela_ruins_of_a_nuns_cell,cela_ruins_of_a_nuns_cell_dec0.20_qp13_qt12_cqlevel_48,0.5661764705
cela_ruins_of_a_nuns_cell,cela_ruins_of_a_nuns_cell_dec0.40_qp13_qt12_cqlevel_38,0.30208333325000003
creature_box_squid,creature_box_squid_dec0.10_qp8_qt7_cqlevel_63,0.9583333332499999
creature_box_squid,creature_box_squid_dec0.20_qp9_qt8_cqlevel_63,0.86184210525
creature_box_squid,creature_box_squid_dec1.00_qp10_qt9_cqlevel_58,0.41666666674999997
creature_box_squid,creature_box_squid_dec1.00_qp12_qt11_cqlevel_48,0.16874999999999996
creature_box_squid,creature_box_squid_dec1.00_qp9_qt8_cqlevel_63,0.50714285725
dead_rose_smallCCremoved,dead_rose_smallCCremoved_dec0.10_qp6_qt5_cqlevel_63,0.955882353
dead_rose_smallCCremoved,dead_rose_smallCCremoved_dec0.20_qp8_qt7_cqlevel_63,0.75
dead_rose_smallCCremoved,dead_rose_smallCCremoved_dec0.30_qp10_qt9_cqlevel_58,0.51875
dead_rose_smallCCremoved,dead_rose_smallCCremoved_dec0.60_qp12_qt11_cqlevel_53,0.3529411765
dead_rose_smallCCremoved,dead_rose_smallCCremoved_dec1.00_qp12_qt11_cqlevel_43,0.24324324325000002
electrodynamic,electrodynamic_dec0.10_qp10_qt9_cqlevel_53,0.39473684200000003
electrodynamic,electrodynamic_dec0.10_qp12_qt11_cqlevel_53,0.4125
electrodynamic,electrodynamic_dec0.10_qp7_qt6_cqlevel_63,0.951923077
electrodynamic,electrodynamic_dec0.10_qp8_qt7_cqlevel_63,0.78571428575
electrodynamic,electrodynamic_dec0.30_qp12_qt11_cqlevel_43,0.24324324325000002
frederic_fr00001,frederic_fr00001_dec0.10_qp7_qt6_cqlevel_63,0.95
frederic_fr00001,frederic_fr00001_dec0.10_qp9_qt8_cqlevel_63,0.86842105275
frederic_fr00001,frederic_fr00001_dec0.30_qp11_qt10_cqlevel_63,0.669117647
frederic_fr00001,frederic_fr00001_dec0.40_qp12_qt11_cqlevel_53,0.43589743599999997
frederic_fr00001,frederic_fr00001_dec1.00_qp11_qt10_cqlevel_48,0.25892857150000004
green_tree_frog,green_tree_frog_dec0.10_qp9_qt8_cqlevel_63,0.9736842105
green_tree_frog,green_tree_frog_dec0.20_qp10_qt9_cqlevel_63,0.9338235295
green_tree_frog,green_tree_frog_dec1.00_qp10_qt9_cqlevel_63,0.79487179475
green_tree_frog,green_tree_frog_dec1.00_qp11_qt10_cqlevel_58,0.55921052625
green_tree_frog,green_tree_frog_dec1.00_qp13_qt12_cqlevel_33,0.13571428575
heilig_grab_kapelle,heilig_grab_kapelle_dec0.10_qp6_qt5_cqlevel_63,0.97
heilig_grab_kapelle,heilig_grab_kapelle_dec0.10_qp8_qt7_cqlevel_63,0.88815789475
heilig_grab_kapelle,heilig_grab_kapelle_dec0.20_qp10_qt9_cqlevel_63,0.56578947375
heilig_grab_kapelle,heilig_grab_kapelle_dec0.20_qp13_qt12_cqlevel_58,0.43243243249999996
heilig_grab_kapelle,heilig_grab_kapelle_dec0.60_qp16_qt14_cqlevel_33,0.10000000000000009
heliostat,heliostat_dec0.10_qp10_qt9_cqlevel_63,0.4615384615
heliostat,heliostat_dec0.10_qp11_qt10_cqlevel_58,0.31999999999999995
heliostat,heliostat_dec0.10_qp7_qt6_cqlevel_63,0.9453125
heliostat,heliostat_dec0.10_qp8_qt7_cqlevel_63,0.7714285715
heliostat,heliostat_dec0.40_qp13_qt12_cqlevel_38,0.2265625
hussar_on_horseback,hussar_on_horseback_dec0.10_qp11_qt10_cqlevel_63,0.79285714275
hussar_on_horseback,hussar_on_horseback_dec0.10_qp7_qt6_cqlevel_63,0.96875
hussar_on_horseback,hussar_on_horseback_dec0.10_qp8_qt7_cqlevel_63,0.8846153845
hussar_on_horseback,hussar_on_horseback_dec0.60_qp11_qt10_cqlevel_58,0.532051282
hussar_on_horseback,hussar_on_horseback_dec1.00_qp12_qt11_cqlevel_43,0.25625
japanese_spiny_lobster,japanese_spiny_lobster_dec0.10_qp10_qt9_cqlevel_63,0.9324324325
japanese_spiny_lobster,japanese_spiny_lobster_dec0.10_qp8_qt7_cqlevel_63,0.98571428575
japanese_spiny_lobster,japanese_spiny_lobster_dec1.00_qp10_qt9_cqlevel_63,0.67567567575
japanese_spiny_lobster,japanese_spiny_lobster_dec1.00_qp11_qt10_cqlevel_58,0.2162162162500001
japanese_spiny_lobster,japanese_spiny_lobster_dec1.00_qp12_qt11_cqlevel_43,0.125
just_a_girl,just_a_girl_dec0.10_qp6_qt5_cqlevel_63,0.94078947375
just_a_girl,just_a_girl_dec0.20_qp9_qt8_cqlevel_63,0.65
just_a_girl,just_a_girl_dec0.40_qp10_qt9_cqlevel_63,0.39
just_a_girl,just_a_girl_dec0.60_qp11_qt10_cqlevel_58,0.17105263150000005
just_a_girl,just_a_girl_dec1.00_qp13_qt12_cqlevel_43,0.0859375
luna_lionfish,luna_lionfish_dec1.00_qp10_qt9_cqlevel_63,0.83552631575
luna_lionfish,luna_lionfish_dec1.00_qp11_qt10_cqlevel_53,0.55921052625
luna_lionfish,luna_lionfish_dec1.00_qp11_qt10_cqlevel_63,0.6875
luna_lionfish,luna_lionfish_dec1.00_qp12_qt11_cqlevel_58,0.43000000000000005
luna_lionfish,luna_lionfish_dec1.00_qp13_qt12_cqlevel_48,0.275
marble_mortar,marble_mortar_dec0.10_qp10_qt9_cqlevel_53,0.6470588235
marble_mortar,marble_mortar_dec0.10_qp6_qt5_cqlevel_63,0.94078947375
marble_mortar,marble_mortar_dec0.10_qp8_qt7_cqlevel_63,0.7960526315
marble_mortar,marble_mortar_dec0.40_qp11_qt10_cqlevel_38,0.36842105275000003
marble_mortar,marble_mortar_dec0.60_qp12_qt11_cqlevel_33,0.2890625
mira_w_gun,mira_w_gun_dec0.10_qp7_qt6_cqlevel_63,0.798076923
mira_w_gun,mira_w_gun_dec0.20_qp10_qt9_cqlevel_63,0.519736842
mira_w_gun,mira_w_gun_dec0.30_qp10_qt9_cqlevel_63,0.48684210525000005
mira_w_gun,mira_w_gun_dec1.00_qp11_qt10_cqlevel_63,0.2763157895
mira_w_gun,mira_w_gun_dec1.00_qp12_qt11_cqlevel_58,0.17948717949999993
motorcycle,motorcycle_dec0.10_qp6_qt5_cqlevel_63,0.9
motorcycle,motorcycle_dec0.10_qp8_qt7_cqlevel_63,0.73
motorcycle,motorcycle_dec0.20_qp9_qt8_cqlevel_63,0.5535714285
motorcycle,motorcycle_dec0.40_qp10_qt9_cqlevel_58,0.25
motorcycle,motorcycle_dec0.60_qp12_qt11_cqlevel_43,0.14473684199999992
piggy_bank,piggy_bank_dec0.10_qp12_qt11_cqlevel_58,0.552631579
piggy_bank,piggy_bank_dec0.10_qp7_qt6_cqlevel_63,0.9903846155
piggy_bank,piggy_bank_dec0.10_qp9_qt8_cqlevel_63,0.86486486475
piggy_bank,piggy_bank_dec0.20_qp13_qt12_cqlevel_53,0.32894736849999995
piggy_bank,piggy_bank_dec0.60_qp13_qt12_cqlevel_38,0.081081081
wooden_gramophone,wooden_gramophone_dec0.10_qp12_qt11_cqlevel_53,0.66447368425
wooden_gramophone,wooden_gramophone_dec0.10_qp6_qt5_cqlevel_63,1.0
wooden_gramophone,wooden_gramophone_dec0.10_qp9_qt8_cqlevel_63,0.84375
wooden_gramophone,wooden_gramophone_dec0.30_qp12_qt11_cqlevel_43,0.42763157900000004
wooden_gramophone,wooden_gramophone_dec0.60_qp12_qt11_cqlevel_28,0.21052631574999991
zakopane_chair,zakopane_chair_dec0.10_qp10_qt9_cqlevel_63,0.45394736849999995
zakopane_chair,zakopane_chair_dec0.10_qp6_qt5_cqlevel_63,0.963235294
zakopane_chair,zakopane_chair_dec0.10_qp7_qt6_cqlevel_63,0.7884615385
zakopane_chair,zakopane_chair_dec0.10_qp8_qt7_cqlevel_63,0.61486486475
zakopane_chair,zakopane_chair_dec0.20_qp13_qt12_cqlevel_53,0.07236842099999996
butterflies_collection,butterflies_collection_dec0.10_qp10_qt9_cqlevel_63,0.42857142849999996
butterflies_collection,butterflies_collection_dec0.10_qp12_qt11_cqlevel_58,0.3486842105
butterflies_collection,butterflies_collection_dec0.10_qp7_qt6_cqlevel_63,0.8974358975000001
butterflies_collection,butterflies_collection_dec0.10_qp8_qt7_cqlevel_63,0.725
butterflies_collection,butterflies_collection_dec0.40_qp14_qt13_cqlevel_38,0.08974358975000007
cyber_samurai,cyber_samurai_dec0.10_qp10_qt9_cqlevel_63,0.375
cyber_samurai,cyber_samurai_dec0.10_qp7_qt6_cqlevel_63,0.93421052625
cyber_samurai,cyber_samurai_dec0.10_qp8_qt7_cqlevel_63,0.7763157895
cyber_samurai,cyber_samurai_dec0.20_qp11_qt10_cqlevel_63,0.22999999999999998
cyber_samurai,cyber_samurai_dec0.80_qp13_qt12_cqlevel_43,0.1517857142500001
grey_knight,grey_knight_dec0.10_qp6_qt5_cqlevel_63,0.88815789475
grey_knight,grey_knight_dec0.10_qp9_qt8_cqlevel_63,0.451923077
grey_knight,grey_knight_dec0.60_qp11_qt10_cqlevel_63,0.43939393950000005
grey_knight,grey_knight_dec0.60_qp12_qt11_cqlevel_58,0.20999999999999996
