Model,stimulus,MOS
bag,bag_tsl_6_tqs_512,0.75398931612214404
cake,cake_tsl_8_tqs_256,0.378542481842707
honeydew_melon,honeydew_melon_tsl_4_tqs_128,0.57369894591057602
ping-pong_bat,ping-pong_bat_gQP_2_tQP_1,0.38269439099446301
ship,ship_gsigma_0_tsigma_16,0.39974096211246901
ping-pong_bat,ping-pong_bat_tsl_4_tqs_128,0.94391085393389296
stone,stone_gQP_2_tQP_1,0.411212906944318
glasses_case,glasses_case_pqs_1_qs_48,0.30755791276355293
mushroom,mushroom_tsl_8_tqs_64,0.11725726856019303
stone,stone_level_7,0.91419466807076288
bag,bag_gQP_3_tQP_1,0.72559666908060105
house,house_gQP_1_tQP_3,0.61741790152463794
flowerpot,flowerpot_level_9,0.47374504368478498
ship,ship_gsigma_4_tsigma_8,0.75840962373807197
bag,bag_gQP_2_tQP_1,0.47818547297812497
pumpkin,pumpkin_gsigma_2_tsigma_16,0.49112845125170901
honeydew_melon,honeydew_melon_gQP_3_tQP_1,0.53914793671052608
mushroom,mushroom_gQP_1_tQP_2,0.56387339578666795
pumpkin,pumpkin_tsl_8_tqs_256,0.44656361017970203
pen_container,pen_container_gQP_2_tQP_3,0.51795889578402998
mushroom,mushroom_pqs_1_qs_16,0.10782689231133002
pineapple,pineapple_pqs_1_qs_64,0.76119100229757297
biscuits,biscuits_gQP_2_tQP_1,0.31865948594113203
banana,banana_tsl_6_tqs_512,0.64147348946485305
banana,banana_gQP_1_tQP_3,0.47857698252121605
statue,statue_gQP_3_tQP_3,0.730698626997481
ship,ship_gsigma_0_tsigma_8,0.18123850359897309
flowerpot,flowerpot_tsl_8_tqs_64,0.083063085412579007
ping-pong_bat,ping-pong_bat_gsigma_0_tsigma_8,0.14230606279233993
pen_container,pen_container_gsigma_4_tsigma_8,0.67316275344005105
biscuits,biscuits_tsl_4_tqs_128,0.79435739043116105
glasses_case,glasses_case_gQP_2_tQP_1,0.39734103113831898
honeydew_melon,honeydew_melon_gsigma_4_tsigma_32,0.68989265984661396
banana,banana_gsigma_0_tsigma_8,0.16906861697400699
ship,ship_gsigma_4_tsigma_32,0.77428175186522896
