Model,stimulus,MOS
bag,bag_level_7,0.9040467544019738
bag,bag_level_8,0.81762035854044701
bag,bag_level_9,0.17258921085536894
bag,bag_gsigma_0_tsigma_8,0.11218281028782195
bag,bag_gsigma_0_tsigma_16,0.13750888618143808
bag,bag_gsigma_0_tsigma_32,0.37880359606166503
bag,bag_gsigma_2_tsigma_8,0.43078544468590396
bag,bag_gsigma_2_tsigma_16,0.50635244910856603
bag,bag_gsigma_2_tsigma_32,0.56246190432278398
bag,bag_gsigma_4_tsigma_8,0.77623795868369705
bag,bag_gsigma_4_tsigma_16,0.78012152313772198
bag,bag_gsigma_4_tsigma_32,0.77563835183716301
bag,bag_tsl_4_tqs_64,0.32908311327811901
bag,bag_tsl_4_tqs_128,0.37783711786698904
bag,bag_tsl_4_tqs_256,0.63733902116810803
bag,bag_tsl_4_tqs_512,0.79150187173005604
bag,bag_tsl_6_tqs_64,0.41487126238473304
bag,bag_tsl_6_tqs_128,0.51110109464055598
bag,bag_tsl_6_tqs_256,0.59712606500937904
bag,bag_tsl_6_tqs_512,0.75398931612214404
bag,bag_tsl_8_tqs_64,0.096318233124367936
bag,bag_tsl_8_tqs_128,0.19338358405835299
bag,bag_tsl_8_tqs_256,0.396143555285279
bag,bag_tsl_8_tqs_512,0.65042529058981502
bag,bag_gQP_1_tQP_1,0.13305438138697501
bag,bag_gQP_1_tQP_2,0.23854691550309892
bag,bag_gQP_1_tQP_3,0.47144415710599707
bag,bag_gQP_2_tQP_1,0.47818547297812497
bag,bag_gQP_2_tQP_2,0.506848864703071
bag,bag_gQP_2_tQP_3,0.60892630877976006
bag,bag_gQP_3_tQP_1,0.72559666908060105
bag,bag_gQP_3_tQP_2,0.679822765678472
bag,bag_gQP_3_tQP_3,0.70385135311031199
bag,bag_pqs_1_qs_16,0.096592620020150011
bag,bag_pqs_1_qs_32,0.18161154290388892
bag,bag_pqs_1_qs_48,0.41564462110241596
bag,bag_pqs_1_qs_64,0.37445080781533502
banana,banana_level_7,0.92890971686473334
banana,banana_level_8,0.76916517428555697
banana,banana_level_9,0.10508460133013098
banana,banana_gsigma_0_tsigma_8,0.16906861697400699
banana,banana_gsigma_0_tsigma_16,0.39527750599881695
banana,banana_gsigma_0_tsigma_32,0.59886923655829905
banana,banana_gsigma_2_tsigma_8,0.49244874861844201
banana,banana_gsigma_2_tsigma_16,0.50332297791532099
banana,banana_gsigma_2_tsigma_32,0.68653705464765702
banana,banana_gsigma_4_tsigma_8,0.68022968026863895
banana,banana_gsigma_4_tsigma_16,0.72982891781084103
banana,banana_gsigma_4_tsigma_32,0.76616503258842805
banana,banana_tsl_4_tqs_64,0.45879075826861193
banana,banana_tsl_4_tqs_128,0.47504615380998505
banana,banana_tsl_4_tqs_256,0.65815687141926704
banana,banana_tsl_4_tqs_512,0.70056974364451108
banana,banana_tsl_6_tqs_64,0.16816370125548696
banana,banana_tsl_6_tqs_128,0.20074992303958894
banana,banana_tsl_6_tqs_256,0.38370473652528192
banana,banana_tsl_6_tqs_512,0.64147348946485305
banana,banana_tsl_8_tqs_64,0.15371928881013797
banana,banana_tsl_8_tqs_128,0.13855345637316407
banana,banana_tsl_8_tqs_256,0.38098550708571599
banana,banana_tsl_8_tqs_512,0.61031915227711409
banana,banana_gQP_1_tQP_1,0.39698644057597998
banana,banana_gQP_1_tQP_2,0.43940481370886597
banana,banana_gQP_1_tQP_3,0.47857698252121605
banana,banana_gQP_2_tQP_1,0.56523031605585605
banana,banana_gQP_2_tQP_2,0.56017732836249001
banana,banana_gQP_2_tQP_3,0.60191421461549499
banana,banana_gQP_3_tQP_1,0.70892733359376303
banana,banana_gQP_3_tQP_2,0.76043676118859893
banana,banana_gQP_3_tQP_3,0.77340607128632699
banana,banana_pqs_1_qs_16,0.17074427175907703
banana,banana_pqs_1_qs_32,0.21890450988410193
banana,banana_pqs_1_qs_48,0.38105950342962602
banana,banana_pqs_1_qs_64,0.59984581543465099
biscuits,biscuits_level_7,0.93089527285643459
biscuits,biscuits_level_8,0.73921706809642695
biscuits,biscuits_level_9,0.210933795364323
biscuits,biscuits_gsigma_0_tsigma_8,0.17717333291175197
biscuits,biscuits_gsigma_0_tsigma_16,0.29100085949288501
biscuits,biscuits_gsigma_0_tsigma_32,0.59527370009066305
biscuits,biscuits_gsigma_2_tsigma_8,0.39069233529923197
biscuits,biscuits_gsigma_2_tsigma_16,0.44454597262246498
biscuits,biscuits_gsigma_2_tsigma_32,0.62141474836383503
biscuits,biscuits_gsigma_4_tsigma_8,0.53411847946211699
biscuits,biscuits_gsigma_4_tsigma_16,0.56866442495117198
biscuits,biscuits_gsigma_4_tsigma_32,0.74620646263108403
biscuits,biscuits_tsl_4_tqs_64,0.819548455655983
biscuits,biscuits_tsl_4_tqs_128,0.79435739043116105
biscuits,biscuits_tsl_4_tqs_256,0.82612894920597801
biscuits,biscuits_tsl_4_tqs_512,0.887010603659251
biscuits,biscuits_tsl_6_tqs_64,0.16990854176819203
biscuits,biscuits_tsl_6_tqs_128,0.31044317088321705
biscuits,biscuits_tsl_6_tqs_256,0.53151152226394305
biscuits,biscuits_tsl_6_tqs_512,0.72505203960428699
biscuits,biscuits_tsl_8_tqs_64,0.18393052957499412
biscuits,biscuits_tsl_8_tqs_128,0.28821836598987804
biscuits,biscuits_tsl_8_tqs_256,0.49442317599649399
biscuits,biscuits_tsl_8_tqs_512,0.75735372256262901
biscuits,biscuits_gQP_1_tQP_1,0.19352270128344795
biscuits,biscuits_gQP_1_tQP_2,0.30336359367313193
biscuits,biscuits_gQP_1_tQP_3,0.44709422376947894
biscuits,biscuits_gQP_2_tQP_1,0.31865948594113203
biscuits,biscuits_gQP_2_tQP_2,0.34709249475653092
biscuits,biscuits_gQP_2_tQP_3,0.46886650696574006
biscuits,biscuits_gQP_3_tQP_1,0.32851933134587397
biscuits,biscuits_gQP_3_tQP_2,0.458087012708144
biscuits,biscuits_gQP_3_tQP_3,0.54323144584722205
biscuits,biscuits_pqs_1_qs_16,0.14918130343178704
biscuits,biscuits_pqs_1_qs_32,0.25552119013135499
biscuits,biscuits_pqs_1_qs_48,0.59796182843353896
biscuits,biscuits_pqs_1_qs_64,0.75968841978157098
cake,cake_level_7,0.92229633690668511
cake,cake_level_8,0.829140684644181
cake,cake_level_9,0.35654878329444994
cake,cake_gsigma_0_tsigma_8,0.17640968795012701
cake,cake_gsigma_0_tsigma_16,0.315145676210563
cake,cake_gsigma_0_tsigma_32,0.55718948487664699
cake,cake_gsigma_2_tsigma_8,0.32858160514775803
cake,cake_gsigma_2_tsigma_16,0.41313866535175803
cake,cake_gsigma_2_tsigma_32,0.594178311913926
cake,cake_gsigma_4_tsigma_8,0.49979100976482305
cake,cake_gsigma_4_tsigma_16,0.54991499939631794
cake,cake_gsigma_4_tsigma_32,0.66413543838001399
cake,cake_tsl_4_tqs_64,0.16239811069547105
cake,cake_tsl_4_tqs_128,0.28580799377405397
cake,cake_tsl_4_tqs_256,0.46939848105830007
cake,cake_tsl_4_tqs_512,0.78459398242583001
cake,cake_tsl_6_tqs_64,0.17241505929897005
cake,cake_tsl_6_tqs_128,0.20257620892421901
cake,cake_tsl_6_tqs_256,0.48497731682779699
cake,cake_tsl_6_tqs_512,0.72604517878439501
cake,cake_tsl_8_tqs_64,0.093459174816393986
cake,cake_tsl_8_tqs_128,0.16807929723316606
cake,cake_tsl_8_tqs_256,0.378542481842707
cake,cake_tsl_8_tqs_512,0.67034474885747097
cake,cake_gQP_1_tQP_1,0.1979473497993941
cake,cake_gQP_1_tQP_2,0.28079024270817199
cake,cake_gQP_1_tQP_3,0.46616867914220594
cake,cake_gQP_2_tQP_1,0.44202766445417307
cake,cake_gQP_2_tQP_2,0.48887153393073202
cake,cake_gQP_2_tQP_3,0.50590922883331302
cake,cake_gQP_3_tQP_1,0.72963257178186591
cake,cake_gQP_3_tQP_2,0.74061956661749306
cake,cake_gQP_3_tQP_3,0.74361973156793293
cake,cake_pqs_1_qs_16,0.092179847340878029
cake,cake_pqs_1_qs_32,0.37688149610736299
cake,cake_pqs_1_qs_48,0.65437831488113707
cake,cake_pqs_1_qs_64,0.75140974847249697
flowerpot,flowerpot_level_7,0.88265150474036203
flowerpot,flowerpot_level_8,0.82253003761413801
flowerpot,flowerpot_level_9,0.47374504368478498
flowerpot,flowerpot_gsigma_0_tsigma_8,0.15677373010194795
flowerpot,flowerpot_gsigma_0_tsigma_16,0.37276433029480305
flowerpot,flowerpot_gsigma_0_tsigma_32,0.58075076063238495
flowerpot,flowerpot_gsigma_2_tsigma_8,0.45874068792165901
flowerpot,flowerpot_gsigma_2_tsigma_16,0.54318115944004397
flowerpot,flowerpot_gsigma_2_tsigma_32,0.67888693542113698
flowerpot,flowerpot_gsigma_4_tsigma_8,0.561629582739403
