Model,stimulus,MOS
banana,banana_geo_26_col_26,81.649960652509
banana,banana_geo_26_col_32,79.6882066527613
banana,banana_geo_26_col_38,64.9554792823482
banana,banana_geo_26_col_44,64.5244976905113
banana,banana_geo_26_col_50,56.0863973778605
banana,banana_geo_32_col_26,76.9132580708139
banana,banana_geo_32_col_32,75.703820665135
banana,banana_geo_32_col_38,68.5323767714754
banana,banana_geo_32_col_44,67.9780537361822
banana,banana_geo_32_col_50,52.6842361805738
banana,banana_geo_38_col_26,63.207586333376
banana,banana_geo_38_col_32,57.9657958448315
banana,banana_geo_38_col_38,54.8711650025599
banana,banana_geo_38_col_44,50.0217170571608
banana,banana_geo_38_col_50,41.7792373571032
banana,banana_geo_44_col_26,42.0133808791516
banana,banana_geo_44_col_32,38.2277229723426
banana,banana_geo_44_col_38,40.1925612212863
banana,banana_geo_44_col_44,36.0116356051438
banana,banana_geo_44_col_50,35.1085425633015
banana,banana_geo_50_col_26,24.8807974432507
banana,banana_geo_50_col_32,24.3596920495446
banana,banana_geo_50_col_38,23.6015132822698
banana,banana_geo_50_col_44,22.5501794136694
banana,banana_geo_50_col_50,21.0454872256355
biscuits,biscuits_geo_26_col_26,87.8923684907921
biscuits,biscuits_geo_26_col_32,81.6430452141255
biscuits,biscuits_geo_26_col_38,75.3154710249261
biscuits,biscuits_geo_26_col_44,70.6970505304824
biscuits,biscuits_geo_26_col_50,47.4867761065685
biscuits,biscuits_geo_32_col_26,85.1594534129397
biscuits,biscuits_geo_32_col_32,83.5574140290293
biscuits,biscuits_geo_32_col_38,76.2707571916321
biscuits,biscuits_geo_32_col_44,63.7537949867307
biscuits,biscuits_geo_32_col_50,47.7863712010635
biscuits,biscuits_geo_38_col_26,79.5356816864173
biscuits,biscuits_geo_38_col_32,83.4360588268497
biscuits,biscuits_geo_38_col_38,77.0382203009983
biscuits,biscuits_geo_38_col_44,67.7899989840408
biscuits,biscuits_geo_38_col_50,50.8518218371507
biscuits,biscuits_geo_44_col_26,73.0776411784288
biscuits,biscuits_geo_44_col_32,64.5948469858521
biscuits,biscuits_geo_44_col_38,58.4701670021258
biscuits,biscuits_geo_44_col_44,56.952028111374
biscuits,biscuits_geo_44_col_50,43.2095155036005
biscuits,biscuits_geo_50_col_26,53.3353041395029
biscuits,biscuits_geo_50_col_32,49.2948719615677
biscuits,biscuits_geo_50_col_38,51.4989786845386
