Model,stimulus,MOS
bag,bag_geo_26_col_26,82.4723447329788
bag,bag_geo_26_col_32,81.5011617631872
bag,bag_geo_26_col_38,85.4385357999222
bag,bag_geo_26_col_44,71.0429646265918
bag,bag_geo_26_col_50,41.9103802574037
bag,bag_geo_32_col_26,83.4415686341938
bag,bag_geo_32_col_32,86.6946725842642
bag,bag_geo_32_col_38,80.0293344352133
bag,bag_geo_32_col_44,67.4786630808148
bag,bag_geo_32_col_50,47.4334132848138
bag,bag_geo_38_col_26,83.6113667623873
bag,bag_geo_38_col_32,80.3914416029074
bag,bag_geo_38_col_38,76.2532702419914
bag,bag_geo_38_col_44,69.134745827834
bag,bag_geo_38_col_50,45.9038347256144
bag,bag_geo_44_col_26,75.8551921705965
bag,bag_geo_44_col_32,65.0850667447251
bag,bag_geo_44_col_38,63.7252970193839
bag,bag_geo_44_col_44,56.1250447965146
bag,bag_geo_44_col_50,37.8973626929821
bag,bag_geo_50_col_26,41.5970977830194
bag,bag_geo_50_col_32,37.7775630717529
bag,bag_geo_50_col_38,31.3035768598301
bag,bag_geo_50_col_44,30.0810054324427
bag,bag_geo_50_col_50,16.8357365004561
banana,banana_geo_26_col_26,81.649960652509
banana,banana_geo_26_col_32,79.6882066527613
banana,banana_geo_26_col_38,64.9554792823482
banana,banana_geo_26_col_44,64.5244976905113
banana,banana_geo_26_col_50,56.0863973778605
banana,banana_geo_32_col_26,76.9132580708139
banana,banana_geo_32_col_32,75.703820665135
banana,banana_geo_32_col_38,68.5323767714754
banana,banana_geo_32_col_44,67.9780537361822
banana,banana_geo_32_col_50,52.6842361805738
banana,banana_geo_38_col_26,63.207586333376
banana,banana_geo_38_col_32,57.9657958448315
banana,banana_geo_38_col_38,54.8711650025599
banana,banana_geo_38_col_44,50.0217170571608
banana,banana_geo_38_col_50,41.7792373571032
banana,banana_geo_44_col_26,42.0133808791516
banana,banana_geo_44_col_32,38.2277229723426
banana,banana_geo_44_col_38,40.1925612212863
banana,banana_geo_44_col_44,36.0116356051438
banana,banana_geo_44_col_50,35.1085425633015
banana,banana_geo_50_col_26,24.8807974432507
banana,banana_geo_50_col_32,24.3596920495446
banana,banana_geo_50_col_38,23.6015132822698
banana,banana_geo_50_col_44,22.5501794136694
banana,banana_geo_50_col_50,21.0454872256355
cake,cake_geo_26_col_26,86.9359350491745
cake,cake_geo_26_col_32,85.478638008414
cake,cake_geo_26_col_38,81.694655902971
cake,cake_geo_26_col_44,69.5639617403983
cake,cake_geo_26_col_50,54.7460831111615
cake,cake_geo_32_col_26,84.7184799067125
cake,cake_geo_32_col_32,80.9823228475772
cake,cake_geo_32_col_38,77.2012235286127
cake,cake_geo_32_col_44,70.8288525218617
cake,cake_geo_32_col_50,48.4505068678294
cake,cake_geo_38_col_26,81.3322673838494
cake,cake_geo_38_col_32,77.7277923267265
cake,cake_geo_38_col_38,73.5255185638214
cake,cake_geo_38_col_44,64.0224841065843
cake,cake_geo_38_col_50,52.2350580461529
cake,cake_geo_44_col_26,62.2839601931544
cake,cake_geo_44_col_32,59.5632021598096
cake,cake_geo_44_col_38,58.6246715142536
cake,cake_geo_44_col_44,47.2806982462689
cake,cake_geo_44_col_50,46.6311628313398
cake,cake_geo_50_col_26,29.9131508477554
cake,cake_geo_50_col_32,39.5743814023421
cake,cake_geo_50_col_38,26.8825126156265
cake,cake_geo_50_col_44,27.7111776794485
cake,cake_geo_50_col_50,27.0513082355173
cauliflower,cauliflower_geo_26_col_26,87.2062166819033
cauliflower,cauliflower_geo_26_col_32,89.4706954358539
cauliflower,cauliflower_geo_26_col_38,78.973711179037
cauliflower,cauliflower_geo_26_col_44,58.2248810831345
cauliflower,cauliflower_geo_26_col_50,41.7461201255633
cauliflower,cauliflower_geo_32_col_26,86.6110597545741
cauliflower,cauliflower_geo_32_col_32,85.0459210120589
